student_id,cgpa,academic_backlogs,internships,internship_quality,certifications,projects,communication_skills,extra_curricular,college_tier,branch,placement_rate,market_demand,region,year,placed_3m,placed_6m,placed_12m,salary_lpa,delayed_placement_risk,loan_amount,emi_monthly,income_coverage_ratio
STUD_00001,8.1,0,1,none,0,4,8.2,0,2,CSE,0.693,high,North,2023,0,1,1,9.37,0,1340000.0,18454.0,10.0
STUD_00002,7.33,1,1,medium,0,2,7.1,2,2,CSE,0.606,high,South,2024,1,1,1,7.45,0,1161000.0,25250.0,10.0
STUD_00003,8.28,2,1,low,7,3,8.4,4,1,CSE,0.697,low,North,2023,1,1,1,10.35,0,2149000.0,46723.0,10.0
STUD_00004,9.33,0,3,none,2,8,9.9,2,2,CSE,0.638,medium,East,2023,1,1,1,9.12,0,1708000.0,37133.0,10.0
STUD_00005,7.22,0,0,none,5,1,7.4,2,2,ECE,0.691,high,North,2025,1,0,1,8.4,0,1568000.0,21597.0,10.0
STUD_00006,7.22,0,2,none,3,3,5.7,2,2,CSE,0.592,high,North,2025,0,1,1,8.25,0,2255000.0,31069.0,10.0
STUD_00007,9.4,0,2,none,1,1,6.4,4,2,CSE,0.702,high,North,2023,0,1,1,9.74,0,2501000.0,42818.0,10.0
STUD_00008,8.42,0,2,high,2,2,6.8,3,3,MBA,0.468,medium,East,2023,1,1,1,9.21,0,2170000.0,37162.0,10.0
STUD_00009,6.94,4,1,medium,4,2,8.3,1,1,CSE,0.738,high,East,2023,1,1,1,9.13,0,1644000.0,35742.0,10.0
STUD_00010,8.15,1,0,low,2,1,8.7,2,2,MBA,0.579,high,South,2024,0,1,0,7.12,0,2462000.0,42162.0,10.0
STUD_00011,6.94,2,2,medium,1,4,6.5,0,3,Mechanical,0.42,medium,North,2023,1,1,1,5.82,0,1060000.0,18146.0,10.0
STUD_00012,6.94,0,0,low,3,3,7.8,3,2,CSE,0.668,medium,South,2024,0,1,1,7.92,0,2176000.0,47304.0,10.0
STUD_00013,7.79,1,0,medium,3,2,7.7,0,3,Mechanical,0.541,low,South,2023,0,1,1,5.55,1,1537000.0,26313.0,10.0
STUD_00014,5.2,0,1,none,1,5,4.5,3,3,Mechanical,0.48,high,West,2023,0,1,1,7.42,0,614000.0,10513.0,10.0
STUD_00015,5.43,1,0,none,2,3,6.5,4,2,ECE,0.624,low,East,2024,0,1,1,7.71,0,1507000.0,25806.0,10.0
STUD_00016,6.83,0,3,none,3,3,5.9,0,2,CSE,0.672,high,South,2023,0,1,1,10.1,0,2261000.0,49153.0,10.0
STUD_00017,6.28,0,0,none,6,2,6.4,1,3,ECE,0.532,medium,South,2024,0,1,1,6.85,1,1884000.0,40961.0,10.0
STUD_00018,7.88,0,0,none,6,2,8.7,1,3,Civil,0.54,low,South,2024,0,0,1,8.1,0,2162000.0,37016.0,10.0
STUD_00019,6.41,3,1,medium,2,1,9.5,1,1,Mechanical,0.73,medium,East,2023,1,1,1,9.19,0,1100000.0,15150.0,10.0
STUD_00020,5.81,0,0,none,4,1,5.9,0,2,CSE,0.621,high,East,2023,0,1,1,9.6,0,1828000.0,25175.0,10.0
STUD_00021,9.26,0,0,low,5,3,7.7,2,2,Mechanical,0.62,high,East,2024,0,1,1,9.39,0,2013000.0,27727.0,10.0
STUD_00022,7.23,0,3,medium,3,2,7.0,0,3,ECE,0.519,medium,South,2025,0,1,1,6.82,1,1904000.0,26233.0,10.0
STUD_00023,7.58,0,2,medium,2,1,6.7,3,2,ECE,0.612,medium,South,2024,1,0,1,9.11,0,976000.0,21218.0,10.0
STUD_00024,5.79,1,1,none,3,2,6.2,3,3,Mechanical,0.499,low,South,2025,0,1,1,7.88,0,1018000.0,22144.0,10.0
STUD_00025,6.85,1,2,none,2,4,6.3,1,3,ECE,0.531,medium,East,2024,0,1,1,8.13,0,2412000.0,33223.0,10.0
STUD_00026,7.63,0,2,high,3,4,8.9,1,3,MBA,0.518,low,North,2024,0,1,1,9.59,0,1925000.0,41860.0,10.0
